region,week,positivity_rate,sample_size
al,1,0.270263,7600
al,2,0.263035,6828
al,3,0.26688,4991
al,4,0.256996,3895
al,5,0.255419,4890
al,6,0.264869,5599
al,7,0.275655,5496
al,8,0.246713,4791
al,9,0.221787,4342
al,10,0.192958,3607
al,11,0.178199,2587
al,12,0.175994,2591
al,13,0.164544,1884
al,14,0.173889,1777
al,15,0.177627,1475
al,16,0.149289,1266
al,17,0.106136,1206
al,18,0.172203,1144
al,19,0.146953,837
al,20,0.180624,609
al,21,0.142424,330
al,22,0.172107,337
al,23,0.149474,475
al,24,0.175439,285
al,25,0.205689,457
al,26,0.290541,444
al,27,0.312621,515
al,28,0.407609,736
al,29,0.338141,624
al,30,0.342183,1017
al,31,0.393987,1264
al,32,0.373649,1480
al,33,0.318661,2181
al,34,0.327567,2659
al,35,0.318167,2989
al,36,0.29504,1976
al,37,0.257631,1638
al,38,0.211925,1543
al,39,0.216765,1527
al,40,0.187188,1202
al,41,0.189076,1190
al,42,0.163569,1076
al,43,0.153076,1398
al,44,0.195015,1364
al,45,0.187383,1601
al,46,0.148878,1471
al,47,0.131279,1493
al,48,0.15883,1744
al,49,0.185875,2039
al,50,0.178341,2484
al,51,0.174001,4454
al,52,0.172514,5501
ar,1,0.263963,3205
ar,2,0.277778,3024
ar,3,0.200104,1929
ar,4,0.166602,2569
ar,5,0.145852,3291
ar,6,0.139767,3606
ar,7,0.141601,3411
ar,8,0.178407,2825
ar,9,0.145562,2535
ar,10,0.152117,1913
ar,11,0.129454,1684
ar,12,0.163072,1159
ar,13,0.136324,1159
ar,14,0.185423,933
ar,15,0.186739,739
ar,16,0.172876,671
ar,17,0.17053,604
ar,18,0.20332,482
ar,19,0.138,500
ar,20,0.147465,217
ar,21,0.152542,236
ar,22,0.125506,247
ar,23,0.148,250
ar,24,0.236111,144
ar,25,0.198198,111
ar,26,0.272727,198
ar,27,0.232323,99
ar,28,0.377593,241
ar,29,0.239437,426
ar,30,0.415441,544
ar,31,0.353877,503
ar,32,0.38806,670
ar,33,0.340146,685
ar,34,0.349567,924
ar,35,0.275648,965
ar,36,0.313641,931
ar,37,0.283988,993
ar,38,0.221823,834
ar,39,0.246061,825
ar,40,0.166425,691
ar,41,0.242816,696
ar,42,0.209705,577
ar,43,0.170475,569
ar,44,0.116022,543
ar,45,0.142149,605
ar,46,0.163614,819
ar,47,0.150082,613
ar,48,0.207469,723
ar,49,0.176744,860
ar,50,0.212285,1107
ar,51,0.219595,1776
ar,52,0.230989,2104
az,1,0.320953,15239
az,2,0.258699,13881
az,3,0.244635,10485
az,4,0.252503,9889
az,5,0.273076,9133
az,6,0.267662,9172
az,7,0.264637,8147
az,8,0.256983,8378
az,9,0.251141,7669
az,10,0.255163,7215
az,11,0.272756,6295
az,12,0.257013,5953
az,13,0.281977,5504
az,14,0.261082,4715
az,15,0.266089,4273
az,16,0.268609,4084
az,17,0.261635,4598
az,18,0.294607,3727
az,19,0.303881,3350
az,20,0.246988,2324
az,21,0.209302,1677
az,22,0.217816,1841
az,23,0.283045,2194
az,24,0.345489,2139
az,25,0.356311,2060
az,26,0.374036,2334
az,27,0.367508,1902
az,28,0.369024,2008
az,29,0.36128,1813
az,30,0.378015,2156
az,31,0.410906,2329
az,32,0.391596,2237
az,33,0.368698,2658
az,34,0.38805,3046
az,35,0.371481,3268
az,36,0.365725,2655
az,37,0.312728,3009
az,38,0.296927,3937
az,39,0.313293,4258
az,40,0.34886,4036
az,41,0.322317,4902
az,42,0.340354,5033
az,43,0.379039,4704
az,44,0.333333,4419
az,45,0.34575,5423
az,46,0.34701,6556
az,47,0.326299,6160
az,48,0.302317,5266
az,49,0.305194,5295
az,50,0.275212,5890
az,51,0.264598,8477
az,52,0.251785,8543
ca,1,0.392675,27524
ca,2,0.298169,24134
ca,3,0.284095,18874
ca,4,0.270011,16866
ca,5,0.277662,14903
ca,6,0.293822,16299
ca,7,0.307893,15369
ca,8,0.309688,14802
ca,9,0.27398,13720
ca,10,0.275162,12509
ca,11,0.231739,11815
ca,12,0.213443,10087
ca,13,0.208001,11173
ca,14,0.187243,10441
ca,15,0.196188,10704
ca,16,0.180825,9064
ca,17,0.152412,7401
ca,18,0.22131,4871
ca,19,0.248877,4231
ca,20,0.240874,4301
ca,21,0.287075,3675
ca,22,0.291383,3226
ca,23,0.283852,3988
ca,24,0.288577,4342
ca,25,0.294277,4071
ca,26,0.306878,3780
ca,27,0.365867,3545
ca,28,0.416058,3699
ca,29,0.437293,3620
ca,30,0.446871,3388
ca,31,0.429768,4179
ca,32,0.461378,6240
ca,33,0.460141,7652
ca,34,0.441831,7865
ca,35,0.426667,7875
ca,36,0.424856,5729
ca,37,0.389052,6485
ca,38,0.31599,5785
ca,39,0.279163,5975
ca,40,0.250821,5789
ca,41,0.240737,4885
ca,42,0.26208,5174
ca,43,0.254501,3721
ca,44,0.230097,2977
ca,45,0.232594,3921
ca,46,0.23938,2966
ca,47,0.26619,4200
ca,48,0.259284,4551
ca,49,0.297389,5286
ca,50,0.296203,5530
ca,51,0.301549,8778
ca,52,0.29525,8779
co,1,0.257087,9172
co,2,0.226767,8361
co,3,0.24873,5512
co,4,0.256173,6601
co,5,0.236867,6358
co,6,0.232225,7398
co,7,0.241874,5999
co,8,0.258049,6398
co,9,0.279687,5878
co,10,0.216467,5502
co,11,0.226242,5777
co,12,0.203166,4548
co,13,0.208173,4405
co,14,0.207752,3586
co,15,0.188506,3045
co,16,0.189919,3075
co,17,0.177526,2563
co,18,0.196195,2681
co,19,0.193878,2156
co,20,0.236461,1311
co,21,0.252297,1197
co,22,0.220748,829
co,23,0.213055,1103
co,24,0.296833,1105
co,25,0.326014,1184
co,26,0.336758,876
co,27,0.359563,915
co,28,0.27733,869
co,29,0.355641,1046
co,30,0.427677,1438
co,31,0.403913,1431
co,32,0.364766,1368
co,33,0.38427,1335
co,34,0.355227,1827
co,35,0.360257,2179
co,36,0.389181,1331
co,37,0.324663,2076
co,38,0.277108,3071
co,39,0.282854,2747
co,40,0.302271,2554
co,41,0.270959,2827
co,42,0.312724,2507
co,43,0.336948,2582
co,44,0.34289,2581
co,45,0.332249,3073
co,46,0.301136,3168
co,47,0.223676,3134
co,48,0.246005,3004
co,49,0.269474,3158
co,50,0.24065,3262
co,51,0.212816,4713
co,52,0.217538,4459
de,1,0.371284,2758
de,2,0.326359,3202
de,3,0.319926,2163
de,4,0.298645,1845
de,5,0.317851,1787
de,6,0.26146,1767
de,7,0.267638,1715
de,8,0.237719,1771
de,9,0.191216,1480
de,10,0.203883,1030
de,11,0.187563,997
de,12,0.167677,990
de,13,0.181063,602
de,14,0.184818,606
de,15,0.105932,472
de,16,0.10274,438
de,17,0.094086,372
de,18,0.192182,307
de,19,0.162264,265
de,20,0.24,175
de,21,0.111111,108
de,22,0.155844,77
de,23,0.238095,168
de,24,0.169643,112
de,25,0.26087,184
de,26,0.307692,117
de,27,0.315789,133
de,28,0.282787,244
de,29,0.420408,245
de,30,0.392739,303
de,31,0.398734,474
de,32,0.349241,461
de,33,0.397872,470
de,34,0.293963,381
de,35,0.326964,471
de,36,0.35873,315
de,37,0.358209,536
de,38,0.314741,753
de,39,0.29697,825
de,40,0.238671,662
de,41,0.262542,598
de,42,0.249249,666
de,43,0.219224,593
de,44,0.193617,470
de,45,0.191824,318
de,46,0.147059,374
de,47,0.219224,593
de,48,0.285412,473
de,49,0.311864,590
de,50,0.237172,877
de,51,0.294563,1453
de,52,0.317383,1651
fl,1,0.332204,75842
fl,2,0.313008,78685
fl,3,0.300217,64127
fl,4,0.300556,61130
fl,5,0.270787,54408
fl,6,0.268387,53367
fl,7,0.259452,45839
fl,8,0.246434,39264
fl,9,0.231545,34490
fl,10,0.2119,31411
fl,11,0.193981,27580
fl,12,0.205766,24868
fl,13,0.21465,23536
fl,14,0.211612,20892
fl,15,0.215608,18849
fl,16,0.195068,17722
fl,17,0.209451,16443
fl,18,0.213123,15911
fl,19,0.21148,13902
fl,20,0.217507,10110
fl,21,0.201581,7972
fl,22,0.229703,8228
fl,23,0.257287,10292
fl,24,0.278834,9780
fl,25,0.337637,10843
fl,26,0.363688,12420
fl,27,0.38486,11638
fl,28,0.432751,10082
fl,29,0.42596,10832
fl,30,0.431103,11002
fl,31,0.44093,9768
fl,32,0.432139,11332
fl,33,0.407789,14944
fl,34,0.398166,17887
fl,35,0.370029,17904
fl,36,0.342417,12733
fl,37,0.314363,14725
