region,date,positivity_rate,test_count
national,2026-03-03,0.223904,272831
al,2026-03-03,0.192958,3607
ar,2026-03-03,0.152117,1913
az,2026-03-03,0.255163,7215
ca,2026-03-03,0.275162,12509
co,2026-03-03,0.216467,5502
de,2026-03-03,0.203883,1030
fl,2026-03-03,0.2119,31411
ga,2026-03-03,0.200448,8930
il,2026-03-03,0.271617,22922
in,2026-03-03,0.195803,5051
md,2026-03-03,0.218481,2554
mi,2026-03-03,0.234511,7360
mn,2026-03-03,0.232821,4424
mo,2026-03-03,0.194884,5629
ms,2026-03-03,0.195741,1221
nc,2026-03-03,0.209547,12360
ne,2026-03-03,0.236174,1537
nj,2026-03-03,0.171366,8724
nm,2026-03-03,0.247303,2410
ny,2026-03-03,0.266879,10027
oh,2026-03-03,0.235382,7371
ok,2026-03-03,0.199086,2406
pa,2026-03-03,0.166386,3564
sc,2026-03-03,0.205963,4394
tn,2026-03-03,0.209994,9786
tx,2026-03-03,0.218567,38972
va,2026-03-03,0.170915,6395
wa,2026-03-03,0.204567,4248
wi,2026-03-03,0.282723,7976
