region,date,positivity_rate,test_count
AL,2021-05-07,0.13243378310844578,2001
AL,2021-05-08,0.10967741935483871,775
AL,2021-05-09,0.11083437110834371,803
AL,2021-05-10,0.10039630118890357,757
AL,2021-05-11,0.08981233243967829,746
AL,2021-05-12,0.0912981455064194,701
AL,2021-05-13,0.07749627421758569,671
AL,2021-05-14,0.07352941176470588,612
AL,2021-05-15,0.06076388888888889,576
AL,2021-05-16,0.053208137715179966,639
AL,2021-05-17,0.05699481865284974,772
AL,2021-05-18,0.06438213914849429,963
AL,2021-05-19,0.06429192006950478,1151
AL,2021-05-20,0.05864432597105865,1313
AL,2021-05-21,0.06173677069199457,1474
AL,2021-05-22,0.06412583182093164,1653
AL,2021-05-23,0.06398104265402843,1688
AL,2021-05-24,0.0607669616519174,1695
AL,2021-05-25,0.054729327781082686,1681
AL,2021-05-26,0.048295454545454544,1760
AL,2021-05-27,0.0493368700265252,1885
AL,2021-05-28,0.04205128205128205,1950
AL,2021-05-29,0.03606388459556929,1941
AL,2021-05-30,0.03281171125694094,1981
AL,2021-05-31,0.031443009545199324,1781
AL,2021-06-01,0.07804232804232804,3024
AL,2021-06-02,0.0811623246492986,2994
AL,2021-06-03,0.08161888701517707,2965
AL,2021-06-04,0.08341742347796838,2973
AL,2021-06-05,0.08472358521426235,3057
AL,2021-06-06,0.08599670510708401,3035
AL,2021-06-07,0.08290155440414508,3281
AL,2021-06-08,0.04337231968810916,2052
AL,2021-06-09,0.040160642570281124,1992
AL,2021-06-10,0.0383618455158113,1929
AL,2021-06-11,0.036760788492274904,1877
AL,2021-06-12,0.03577611079053664,1733
AL,2021-06-13,0.035045317220543805,1655
AL,2021-06-14,0.036968576709796676,1623
AL,2021-06-15,0.03706070287539936,1565
AL,2021-06-16,0.038995373430270985,1513
AL,2021-06-17,0.03767123287671233,1460
AL,2021-06-18,0.03944636678200692,1445
AL,2021-06-19,0.0364656381486676,1426
AL,2021-06-20,0.03613620569840167,1439
AL,2021-06-21,0.030985915492957747,1420
AL,2021-06-22,0.03248099516240498,1447
AL,2021-06-23,0.03787375415282392,1505
AL,2021-06-24,0.04437086092715232,1510
AL,2021-06-25,0.04310344827586207,1508
AL,2021-06-26,0.04913848117421825,1567
AL,2021-06-27,0.05701754385964912,1596
AL,2021-06-28,0.05911636589919104,1607
AL,2021-06-29,0.06043613707165109,1605
AL,2021-06-30,0.05764563106796117,1648
AL,2021-07-01,0.09502572898799314,2915
AL,2021-07-02,0.09691482226693494,2982
AL,2021-07-03,0.09536692593845113,2957
AL,2021-07-04,0.09721229449606862,2798
AL,2021-07-05,0.09569053274516458,2947
AL,2021-07-06,0.09842651489789087,2987
AL,2021-07-07,0.10590969455511288,3012
AL,2021-07-08,0.08275120902740463,1861
AL,2021-07-09,0.09105603448275862,1856
AL,2021-07-10,0.09803921568627451,1938
AL,2021-07-11,0.09887535145267104,2134
AL,2021-07-12,0.11406476558724021,2069
AL,2021-07-13,0.12630579297245964,2106
AL,2021-07-14,0.13192488262910798,2130
AL,2021-07-15,0.1507607192254495,2169
AL,2021-07-16,0.16013925152306355,2298
AL,2021-07-17,0.16747572815533981,2472
AL,2021-07-18,0.17803030303030304,2640
AL,2021-07-19,0.18171765573166238,2713
AL,2021-07-20,0.1891341256366723,2945
AL,2021-07-21,0.19900497512437812,3216
AL,2021-07-22,0.20306731042317525,3521
AL,2021-07-23,0.21048472075869337,3796
AL,2021-07-24,0.21468074409250879,3978
AL,2021-07-25,0.2239657631954351,4206
AL,2021-07-26,0.2364585599303894,4597
AL,2021-07-27,0.24319419237749546,4959
AL,2021-07-28,0.24216256804955885,5327
AL,2021-07-29,0.24613220815752462,5688
AL,2021-07-30,0.24612047388620056,5993
AL,2021-07-31,0.24948124501197128,6265
AL,2021-08-01,0.22591145833333334,7680
AL,2021-08-02,0.2234441389652587,8002
AL,2021-08-03,0.22206286602127406,8367
AL,2021-08-04,0.22504686035613872,8536
AL,2021-08-05,0.22690531177829099,8660
AL,2021-08-06,0.22873799725651578,8748
AL,2021-08-07,0.2284631288766368,8706
AL,2021-08-08,0.24703372883615518,7501
AL,2021-08-09,0.25140816046160186,7279
AL,2021-08-10,0.25379229871645276,6856
AL,2021-08-11,0.252250877460705,6553
AL,2021-08-12,0.24450152512441806,6229
AL,2021-08-13,0.24127465857359637,5931
AL,2021-08-14,0.24051081943951755,5638
AL,2021-08-15,0.2414809357156014,5429
AL,2021-08-16,0.23898121387283236,5536
AL,2021-08-17,0.24187166695338036,5813
