State,WVAL,Prevalence,Date
National,3.94,0.0115,2026-02-21
Alabama,5.96,0.0175,2026-02-21
Alaska,3.3,0.0097,2026-02-21
Arizona,1.36,0.0040,2026-02-21
Arkansas,1.88,0.0055,2026-02-21
California,1.06,0.0031,2026-02-21
Colorado,1.13,0.0033,2026-02-21
Connecticut,5.82,0.0171,2026-02-21
Delaware,6.21,0.0182,2026-02-21
District of Columbia,0.73,0.0021,2026-02-21
Florida,1.86,0.0054,2026-02-21
Georgia,2.96,0.0087,2026-02-21
Guam,1.04,0.0030,2026-02-21
Hawaii,1.49,0.0044,2026-02-21
Idaho,2.74,0.0080,2026-02-21
Illinois,7.86,0.0230,2026-02-21
Indiana,6.39,0.0187,2026-02-21
Iowa,5.09,0.0149,2026-02-21
Kansas,3.36,0.0098,2026-02-21
Kentucky,3.15,0.0092,2026-02-21
Louisiana,2.33,0.0068,2026-02-21
Maine,7.04,0.0206,2026-02-21
Maryland,5.66,0.0166,2026-02-21
Massachusetts,3.9,0.0114,2026-02-21
Michigan,4.17,0.0122,2026-02-21
Minnesota,5.69,0.0167,2026-02-21
Mississippi,8.46,0.0248,2026-02-21
Missouri,2.13,0.0062,2026-02-21
Montana,1.67,0.0049,2026-02-21
Nebraska,6.59,0.0193,2026-02-21
Nevada,1.55,0.0045,2026-02-21
New Hampshire,2.75,0.0081,2026-02-21
New Jersey,4.91,0.0144,2026-02-21
New Mexico,1.24,0.0036,2026-02-21
New York,7.61,0.0223,2026-02-21
North Carolina,2.41,0.0071,2026-02-21
North Dakota,,,2026-02-21
Ohio,3.6,0.0105,2026-02-21
Oklahoma,4.31,0.0126,2026-02-21
Oregon,1.26,0.0037,2026-02-21
Pennsylvania,3.08,0.0090,2026-02-21
Rhode Island,5.46,0.0160,2026-02-21
South Carolina,2.38,0.0070,2026-02-21
South Dakota,9.75,0.0286,2026-02-21
Tennessee,3.18,0.0093,2026-02-21
Texas,2.34,0.0069,2026-02-21
Utah,3.21,0.0094,2026-02-21
Vermont,4.22,0.0124,2026-02-21
Virginia,2.26,0.0066,2026-02-21
Washington,2.49,0.0073,2026-02-21
West Virginia,14.48,0.0424,2026-02-21
Wisconsin,5.52,0.0162,2026-02-21
Wyoming,1.48,0.0043,2026-02-21
